Sample,V,Co,Ni,Sc,Ti,Rb,Sr,Y,Zr,Nb,Ba,Hf,Pb,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Na2O,SiO2,MgO,Al2O3,MnO,FeO,Cr2O3,K2O,TiO2,CaO,Total,source,label,comment,,,,,,
CH_DblPolGlass_R2_R2G1.d,229.940,29.254,27.135,23.64,1107.20,16.26,98.05,4.49,23.76,0.53,43.66,0.68,1.92,0.152,0.109,0.850,1.910,0.330,1.580,0.454,0.158,0.443,0.110,0.761,0.139,0.423,0.052,0.687,0.102,2.06,60.28,3.13,15.87,0.11,7.62,0.00,0.54,0.17,8.43,98.30,,,,,,,,,
CH_DblPolGlass_R2_R2G8.d,298.794,16.787,34.742,39.24,1003.59,13.13,63.86,4.23,16.74,0.47,32.44,0.41,1.60,0.103,0.115,0.631,1.450,0.207,1.158,0.204,0.098,0.225,0.066,0.772,0.153,0.553,0.088,0.582,0.106,1.57,58.69,6.96,12.52,0.12,8.33,0.04,0.42,0.11,9.34,98.17,,,,,,,,,
CH_DblPolGlass_R2_R4G11.d,300.920,10.243,13.075,36.62,1105.04,13.55,99.12,5.01,24.65,0.50,39.70,0.64,1.97,0.151,0.119,1.136,1.806,0.328,1.814,0.501,0.145,0.572,0.120,0.643,0.197,0.575,0.085,0.503,0.078,1.69,59.05,4.10,15.14,0.11,8.00,0.03,0.49,0.15,9.23,98.07,,,,,,,,,
CH_DblPolGlass_R2_R4G10.d,709.830,50.214,1369.883,44.97,983.92,12.74,67.59,4.47,18.54,0.54,32.10,0.55,1.51,0.093,0.096,0.610,1.378,0.233,1.149,0.423,0.145,0.417,0.110,0.569,0.124,0.591,0.057,0.640,0.112,1.60,58.89,6.92,12.62,0.14,8.20,0.02,0.43,0.15,9.36,98.41,,,,,,,,,
CH_DblPolGlass_R2_R4G7_Average.d,223.989,36.475,88.236,36.05,973.11,10.60,76.73,4.16,17.63,0.35,30.42,0.41,1.35,0.106,0.093,0.751,1.737,0.251,1.287,0.419,0.166,0.611,0.094,0.625,0.185,0.314,0.095,0.692,0.143,1.64,58.91,7.57,12.97,0.15,8.02,0.08,0.38,0.11,8.63,98.53,,,,,,,,,
CH_DblPolGlass_R2_R4G5_Average.d,243.216,29.514,48.287,38.88,1063.40,13.39,89.35,5.56,25.22,0.47,38.54,0.73,1.80,0.134,0.129,0.969,1.928,0.323,1.478,0.454,0.165,0.517,0.102,0.779,0.195,0.579,0.078,0.643,0.138,2.08,59.40,4.26,14.77,0.12,7.64,0.01,0.49,0.14,9.13,98.13,,,,,,,,,
CH_DblPolGlass_R2_R5G2_Average.d,225.813,34.028,66.808,38.68,994.45,14.54,96.11,5.59,25.85,0.52,39.99,0.75,1.89,0.160,0.142,0.998,2.127,0.333,1.519,0.468,0.186,0.639,0.106,0.634,0.180,0.569,0.104,0.734,0.103,2.01,59.21,5.83,14.27,0.16,7.60,0.01,0.53,0.14,8.68,98.51,,,,,,,,,
CH_DblPolGlass_R2_R5G7_Average.d,201.160,23.007,5.098,16.81,1008.13,17.66,111.07,4.41,26.24,0.63,48.11,0.85,2.51,0.164,0.163,1.141,2.562,0.448,1.539,0.349,0.196,0.435,0.085,0.613,0.124,0.362,0.081,0.552,0.104,2.43,61.28,1.61,16.91,0.09,6.33,0.02,0.62,0.16,6.57,96.13,,,,,,,,,
CH_DblPolGlass_R2_R5G12_Average.d,269.012,34.936,64.143,38.15,1329.94,13.92,92.26,6.21,24.26,0.49,38.21,0.87,1.82,0.119,0.126,0.698,1.434,0.210,1.240,0.380,0.143,0.743,0.122,0.809,0.179,0.580,0.089,0.688,0.101,1.85,59.30,3.78,15.28,0.13,8.08,0.02,0.44,0.16,8.82,97.93,,,,,,,,,
CH_DblPolGlass_R2_R6G11_1.d,215.370,23.319,7.759,21.18,1097.87,18.91,100.99,5.34,29.29,0.75,50.81,0.71,2.39,0.199,0.181,1.287,2.383,0.369,1.664,0.522,0.170,0.674,0.120,0.912,0.153,0.733,0.107,0.708,0.143,2.19,60.55,1.84,16.07,0.11,7.03,0.02,0.64,0.18,6.98,95.71,,,,,,,,,
