Sample,V,Co,Ni,Sc,Ti,Rb,Sr,Y,Zr,Nb,Ba,Hf,Pb,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Na2O,SiO2,MgO,Al2O3,MnO,FeO,Cr2O3,K2O,TiO2,CaO,Total,source,label,comment
Low-Si-F 2,131.51,31.7,84.28,45.64,866.92,5.71,103.34,6.23,17.17,1.14,40.23,0.59,0.87,0.14,0.18,1.92,5.88,0.53,1.89,0.47,0.19,0.78,0.12,1.03,0.22,0.7,0.1,0.7,0.13,1.27,54.3,10.38,10.56,0.24,6.27,1.11,0.33,0.13,9.99,94.58,"Umino et al., 2015",0,Low-Si-F 2
MOy2-1,239.09,57.39,211.84,34.03,679.98,12.7,68.86,2.91,17.03,0.4,40.07,0.47,1.84,0.16,0.13,0.93,1.76,0.25,1.18,0.25,0.09,0.37,0.06,0.44,0.1,0.29,0.05,0.39,0.06,1.09,54.6,17.76,8.12,0.08,8.22,0.81,0.47,0.12,5.62,96.89,"Umino et al., 2018",1,High-Si-D
MOy2-9,174.6,63.28,85.63,30.88,480.85,13.22,70.7,2.82,14.96,0.53,46.92,0.39,1.85,0.16,0.15,1.12,2.06,0.29,1.11,0.26,0.1,0.39,0.06,0.44,0.1,0.33,0.06,0.38,0.06,1.3,55.23,17.66,7.55,0.16,8.46,0.69,0.42,0.09,5.56,97.12,"Umino et al., 2018",1,High-Si-D
MMh1-36,238.49,71.25,112.01,41.38,508,12.18,74.03,2.67,14.27,0.37,41.48,0.43,2.01,0.14,0.14,0.83,1.8,0.26,1.18,0.26,0.09,0.31,0.05,0.34,0.08,0.27,0.04,0.36,0.07,1.13,55.52,16.39,7.57,0.16,9.41,0.95,0.33,0.11,5.58,97.15,"Umino et al., 2018",1,High-Si-D
MMh1-39,216.54,58.79,99.39,35.37,472.28,9.2,57.65,2.28,12.89,0.35,33.87,0.42,1.56,0.11,0.13,0.78,1.55,0.22,0.98,0.23,0.08,0.32,0.05,0.36,0.08,0.3,0.04,0.35,0.06,1.22,55.04,15.66,7.86,0.19,9.67,0.53,0.31,0.06,5.88,96.42,"Umino et al., 2018",1,High-Si-D
AMm1-19,434.36,58.58,124.87,52.16,946.61,10.95,62.6,3.83,28.49,0.41,29.1,0.61,1.76,0.08,0.1,0.66,1.47,0.23,1.14,0.33,0.13,0.45,0.07,0.56,0.12,0.42,0.07,0.59,0.1,1.24,57.01,13.06,9.01,0.12,7.72,0.3,0.42,0.1,6.11,95.09,"Umino et al., 2018",1,High-Si-D
AMs1-10,196.3,52.32,205.91,51.22,374.06,11.19,44.98,1.92,16.05,0.48,32.4,0.4,2.51,0.15,0.11,0.8,1.52,0.21,0.79,0.19,0.07,0.26,,0.27,0.06,0.17,0.04,0.34,0.05,1,54.87,18.21,7.63,0.19,8,1.1,0.41,0.02,5.82,97.25,"Umino et al., 2018",1,High-Si-D
AMs3_30,151.78,54.44,223.39,31.85,444.84,14.98,49.31,2.99,17.09,0.43,34.74,0.57,1.67,0.12,0.1,0.76,1.31,0.19,0.91,0.25,0.06,0.33,0.07,0.43,0.08,0.37,0.06,0.41,0.09,1.4,54.48,16.64,8.18,0.16,7.62,0.15,0.41,0.08,5.95,95.07,"Umino et al., 2018",1,High-Si-D
CIu4-11,215.44,61.03,301.35,42.25,382.07,7,44.83,2.26,15.53,0.37,19.75,0.35,1.19,0.06,0.09,0.57,1.09,0.17,0.7,0.23,0.05,0.25,0.04,0.3,0.08,0.26,0.03,0.32,0.07,1.14,56.06,18.27,7.94,0.21,8.57,1.02,0.26,,6.29,99.76,"Umino et al., 2018",1,High-Si-D
CIu4-23,174.98,43.98,114.47,35.14,490.85,11.49,46.12,3.15,16.47,0.31,27.4,0.49,1.19,0.08,0.06,0.51,0.99,0.16,0.81,0.25,0.1,0.41,0.05,0.47,0.1,0.32,0.06,0.42,0.07,1.39,58.26,11.6,9.5,0.14,7.67,0.15,0.33,0.07,7.01,96.12,"Umino et al., 2018",1,High-Si-D
CNk1-7,1619.88,319.67,656.98,61.29,1123.37,7.5,54.29,2.75,12.07,3.54,22.88,0.36,1.15,0.05,0.03,0.53,1.05,0.15,0.6,0.36,0.11,0.38,0.09,0.18,0.16,0.26,0.04,0.22,0.09,0.79,57.31,11.1,11.23,0.14,4.6,1.32,0.39,0.11,7.92,94.91,"Umino et al., 2018",1,High-Si-D
MOy1-6,141.6,66.84,283.56,28.42,399.03,11.38,58.17,2.9,15.93,0.52,40.27,0.49,1.64,0.12,0.14,0.97,1.83,0.27,1.19,0.33,0.11,0.35,0.07,0.43,0.13,0.32,0.05,0.41,0.07,1.27,54.95,18.79,7.1,0.19,8.36,0.31,0.38,0.05,5.04,96.44,"Umino et al., 2018",1,High-Si-D
MMh1-1,238.77,59.56,108.96,31.67,534.31,9.39,60.53,2.74,13.28,0.26,31.11,0.38,1.5,0.1,0.1,0.64,1.32,0.2,0.92,0.25,0.08,0.32,0.06,0.39,0.1,0.34,0.05,0.4,0.07,1.21,56.09,15.1,7.37,0.23,9.19,0.35,0.31,0.09,6.25,96.19,"Umino et al., 2018",1,High-Si-D
MMh1-2,176.95,56.35,98.07,31.66,597.91,9.36,59.47,3,15.47,0.27,29.63,0.41,1.2,0.09,0.09,0.65,1.36,0.21,0.96,0.29,0.1,0.31,0.07,0.47,0.1,0.31,0.05,0.39,0.07,1.25,56.07,16.14,7.65,0.14,8.74,0.44,0.31,0.1,5.57,96.41,"Umino et al., 2018",1,High-Si-D
MMh1-7,137.88,46.1,67.81,27.94,478.02,8.66,60.23,2.93,13.14,0.18,27.02,0.36,1.12,0.06,0.07,0.54,1.18,0.18,0.84,0.25,0.09,0.35,0.07,0.43,0.1,0.33,0.05,0.41,0.06,1.16,59.19,14.8,7.26,0.19,7.55,0.48,0.27,0.06,5.58,96.54,"Umino et al., 2018",1,High-Si-D
MMh1-10,153.21,63.84,251.07,29.81,466.18,7.01,51.22,3.12,14.92,0.17,23.28,0.4,0.99,0.06,0.07,0.5,1.08,0.16,0.79,0.24,0.11,0.38,0.05,0.44,0.08,0.33,0.07,0.4,0.07,0.99,56.43,18.26,6.87,0.19,8.5,0.77,0.24,0.08,5.14,97.47,"Umino et al., 2018",1,High-Si-D
MMh1-27,178.38,48.67,64.87,32.36,495.06,9.98,64.61,2.89,16.03,0.27,34.25,0.46,1.63,,0.08,0.75,1.59,0.2,1.13,,0.1,,0.07,0.47,0.14,0.29,0.04,0.42,,1.05,56.52,14.66,7.43,0.24,8.97,0.59,0.32,0.03,5.95,95.76,"Umino et al., 2018",1,High-Si-D
MMh1-31,163.25,66.7,381.25,32.14,436.63,7.3,52.84,2.86,14.5,0.29,26.82,0.41,1.17,,,0.6,1.26,0.21,0.88,0.37,0.08,0.32,,0.5,0.08,0.3,,0.32,0.07,1.08,54.36,20.1,6.95,0.18,9.163,1.06,0.24,0.03,5.21,98.373,"Umino et al., 2018",1,High-Si-D
MMh1-32,159.4,67.92,389.37,31.47,418.17,6.85,47.03,2.72,14.56,0.25,28.6,0.38,1.28,,,0.6,1.27,0.18,0.96,0.3,0.09,,,0.34,0.1,0.29,0.07,,,1.05,53.28,20.33,7.01,0.14,8.88,1.01,0.24,0.09,5,97.03,"Umino et al., 2018",1,High-Si-D
MMh1-33,203.24,55.31,88.52,32.88,560.25,7.6,62.86,2.94,16.23,0.34,28.08,0.49,1.36,0.06,0.11,0.69,1.64,0.25,1.14,0.28,0.11,0.45,0.07,0.39,0.12,0.32,0.07,0.45,0.07,1.12,56.1,16.98,7.47,0.19,9.64,1.08,0.25,0.1,5.43,98.36,"Umino et al., 2018",1,High-Si-D
MMh1-34,158.54,47.72,70.36,31.2,450.23,9.87,70.81,2.93,16.39,0.28,33.03,0.51,1.59,0.11,0.1,0.77,1.49,0.23,1.1,0.29,0.1,0.34,0.06,0.47,0.11,0.32,0.05,0.44,0.08,1.31,56.88,13.78,7.87,0.15,8.45,0.45,0.31,0.07,5.65,94.92,"Umino et al., 2018",1,High-Si-D
MMh1-37,167.49,51.91,97.19,32.43,450.63,9.89,66.33,2.78,14.38,0.36,31.72,0.39,1.61,0.11,0.11,0.73,1.4,0.21,0.94,0.22,0.09,0.31,0.05,0.43,0.09,0.3,0.04,0.34,0.06,1.2,56.58,14.39,7.5,0.1,8.17,1.05,0.32,0.05,6.16,95.52,"Umino et al., 2018",1,High-Si-D
AMm1-24,162.27,47.1,145.62,32.07,412.08,14.76,53.82,2.9,15.65,0.51,38.13,0.42,2.55,0.17,0.16,0.86,1.58,0.23,0.95,0.24,0.07,0.32,0.05,0.41,0.09,0.3,0.06,0.43,0.06,1.28,56.64,15.39,8.35,0.16,7.38,0.29,0.43,0.06,5.93,95.91,"Umino et al., 2018",1,High-Si-D
AMs1-26,154.5,64.7,332.21,32.91,401.98,14.93,42.42,2.3,14.66,0.39,32.38,0.46,1.42,0.1,0.1,0.58,1.09,0.15,0.68,0.24,0.06,0.27,0.05,0.4,0.07,0.26,0.05,0.35,0.07,1.24,54.67,18.51,7.22,0.25,8.24,0.3,0.4,0.09,5.51,96.43,"Umino et al., 2018",1,High-Si-D
CIu4-20,165.65,58.86,433.15,30.63,377.51,8.38,38.18,2.03,12.73,0.3,21.42,0.39,1.31,0.05,0.06,0.54,0.97,0.15,0.66,0.19,0.06,0.22,0.05,0.3,0.07,0.24,0.05,0.3,0.06,1.03,54.68,20.53,7.22,0.14,7.72,0.72,0.3,0.1,5.4,97.84,"Umino et al., 2018",1,High-Si-D
CIu4-2,165.26,50.85,189.28,38.43,394.12,14.02,42.61,2.04,13.46,0.4,34.06,0.43,1.84,0.16,0.09,0.7,1.14,0.17,0.66,0.18,0.06,0.24,0.05,0.27,0.07,0.22,0.04,0.34,0.06,1.06,56.25,15.24,8.38,0.21,8.15,0.81,0.39,0.03,6.48,97,"Umino et al., 2018",1,High-Si-D
AMs1-21,177.99,43.46,122.93,33.03,434.75,14.05,53.85,2.78,16.14,0.46,37.24,0.43,1.94,0.14,0.13,0.8,1.48,0.21,0.98,0.27,0.08,0.29,0.05,0.4,0.09,0.34,0.06,0.41,0.07,1.28,58.01,13.66,8.73,0.15,7.91,0.73,0.43,0.09,6.18,97.17,"Umino et al., 2018",1,High-Si-D
AMs1-24,308.31,46.71,126.19,64.78,427.67,11.43,36.65,2.44,10.79,0.32,28.57,0.31,1.69,0.1,0.11,0.59,1.07,0.14,0.61,0.17,0.05,0.27,0.04,0.34,0.09,0.28,0.05,0.38,0.08,1.06,58.46,12.03,9.17,0.23,9.44,0.85,0.29,0.06,6.2,97.79,"Umino et al., 2018",1,High-Si-D
CIu1-5,165.87,55.96,250.86,34.67,398.59,13.58,44.4,2.64,15.7,0.45,38.07,0.47,2.47,0.15,0.13,0.76,1.26,0.18,0.85,0.13,0.08,0.27,0.04,0.38,0.11,0.3,0.06,0.36,0.08,1.13,54.77,17.05,8.16,0.18,7.69,0.4,0.4,0.04,5.99,95.81,"Umino et al., 2018",1,High-Si-D
MOy1-2,141.39,59.29,247.86,26.98,406.33,10.25,51.7,2.71,15.72,0.43,32.27,0.46,1.34,0.14,0.11,0.85,1.64,0.25,1.21,0.32,0.09,0.29,0.05,0.37,0.1,0.35,0.04,0.4,0.07,1.01,53.3,17.45,7.24,0.16,7.89,0.41,0.45,0.08,5.44,93.43,"Umino et al., 2018",1,High-Si-D
MOy1-3,128.33,69.35,347.05,25.52,374.7,9.25,42.52,2.73,14.48,0.37,13.25,0.49,1.63,0.13,0.11,0.66,1.33,0.22,1.08,0.3,0.11,0.39,0.07,0.45,0.09,0.35,0.05,0.42,0.07,0.33,52.2,22.12,6.42,0.16,9.11,0.45,0.38,0.06,4.33,95.56,"Umino et al., 2018",1,High-Si-D
MOy1-7,146.07,62.31,232.26,24.87,381.34,11.66,60.96,2.66,13.66,0.7,40.95,0.35,2.05,0.07,0.11,0.82,1.55,0.22,0.93,0.23,0.09,0.33,0.05,0.44,0.1,0.26,0.05,0.37,0.07,0.9,53.22,19.93,6.76,0.16,8.11,0.62,0.32,0.08,4.95,95.05,"Umino et al., 2018",1,High-Si-D
MOy1-11,132.3,64.33,327.55,24.3,321.73,9.2,47.45,1.96,10.82,0.46,33.46,0.32,1.52,0.1,0.12,0.63,1.47,0.21,0.91,0.24,0.08,0.3,0.05,0.3,0.08,0.24,0.02,0.33,0.05,0.92,52.16,18.9,6.57,0.1,8.07,0.84,0.34,0.03,4.91,92.84,"Umino et al., 2018",1,High-Si-D
MOy1-15,135.44,55.84,182.81,27.34,343.86,8.66,41.07,2.56,11.68,0.55,32.68,0.27,1.62,0.09,0.09,0.7,1.41,0.19,0.87,0.19,0.07,0.29,0.04,0.39,0.07,0.33,0.06,0.34,0.06,0.81,51.4,15.9,6.88,0.18,7.94,1.18,0.36,0.05,5.32,90.02,"Umino et al., 2018",1,High-Si-D
MOy2-5,134.26,58.01,358.67,23.98,356.54,9.72,51.91,2.2,13.01,0.44,15.51,0.39,1.28,0.12,0.12,0.73,1.55,0.24,0.94,0.28,0.09,0.31,0.04,0.34,0.06,0.25,0.04,0.34,0.05,0.83,51.08,20.96,6.55,0.16,7.1,0.8,0.58,0.09,4.11,92.26,"Umino et al., 2018",1,High-Si-D
MOy2-7,130.57,64.78,398.34,25.25,364.82,9.96,45.93,2.49,11.99,0.5,33.32,0.25,1.24,0.08,0.09,0.68,1.37,0.18,0.84,0.23,0.07,0.3,0.04,0.31,0.1,0.26,0.04,0.29,0.05,1,51.98,19.55,6.93,0.12,7.2,0.84,0.44,0.04,5.14,93.24,"Umino et al., 2018",1,High-Si-D
MOy2-8,175.74,42.08,81.03,44.78,426.66,9.16,55.18,2.67,12.46,0.35,32.56,0.42,1.18,0.11,0.09,0.69,1.37,0.21,0.94,0.27,0.1,0.38,0.06,0.39,0.1,0.29,0.05,0.41,0.06,0.96,56.73,14.28,7.36,0.12,6.57,0.79,0.31,0.08,10.29,97.49,"Umino et al., 2018",1,High-Si-D
MOy2-11,156.94,56.39,166.56,31.39,433.41,12.4,65.54,3.09,16.48,0.5,43.32,0.5,1.94,0.13,0.14,0.93,1.82,0.26,1.1,0.31,0.11,0.36,0.05,0.42,0.1,0.33,0.04,0.42,0.07,1.42,55.35,16.84,7.9,0.1,8.59,0.89,0.44,0.08,5.48,97.09,"Umino et al., 2018",1,High-Si-D
CIu4-6,238.88,57.87,332.67,40.43,396.1,12.36,41.9,2.27,13.79,0.56,32.06,0.28,2.15,0.09,0.14,0.64,1.2,0.17,0.7,0.12,0.05,0.25,0.06,0.36,0.09,0.28,0.05,0.31,0.07,0.66,53.14,19.13,7.21,0.18,9.12,1.02,0.59,0.1,5.23,96.38,"Umino et al., 2018",1,High-Si-D
CHu1-3,222.78,47.36,173.75,39.17,435.14,14.74,40.58,2.69,15.53,0.43,31.08,0.42,1.66,0.08,0.09,0.62,1.2,0.15,0.89,0.18,0.08,0.33,0.06,0.39,0.11,0.33,0.06,0.38,0.08,1.08,56.91,14.9,9.7,0.14,5.87,0.82,0.53,0.01,5.82,95.78,"Umino et al., 2018",1,High-Si-D
CHu1-23,184.21,47.71,185.86,32.5,391.97,14.55,40.29,1.96,12.32,0.41,32.76,0.36,1.74,0.09,0.1,0.57,1.1,0.16,0.6,0.19,0.06,0.23,0.04,0.25,0.08,0.25,0.05,0.32,0.06,1.15,53.89,13.9,8.77,0.17,7.95,1.3,0.41,0.08,6.27,93.89,"Umino et al., 2018",1,High-Si-D
CHu1-24,199.18,51.22,184.6,34.38,440.2,17.02,48.94,2.23,14.72,0.35,37.47,0.44,1.71,0.07,0.09,0.55,1.11,0.17,0.67,0.16,0.06,0.22,0.05,0.32,0.07,0.26,0.05,0.3,0.07,1.34,52.27,15.87,8.54,0.16,8.84,0.55,0.42,0.1,6.05,94.14,"Umino et al., 2018",1,High-Si-D
CNk1-3,224.89,35.95,183.71,40.41,636.09,6.44,69.79,3.07,9.68,0.24,19.01,0.24,0.89,0.07,0.05,0.48,0.88,0.15,0.68,0.28,0.1,0.38,0.07,0.48,0.12,0.38,0.05,0.43,0.07,0.96,55.54,15.72,9.1,0.22,6.41,0.48,0.24,0.08,9.75,98.5,"Umino et al., 2018",1,High-Si-D
CNk1-11,182.09,24.75,89.45,50.11,490.51,7.96,60.86,2.78,10.05,0.2,21.77,0.27,1.09,0.09,0.07,0.51,0.95,0.15,0.67,0.23,0.09,0.29,0.05,0.41,0.08,0.32,0.05,0.38,0.08,0.97,57.35,13.08,10.49,0.09,5.52,0.49,0.27,0.06,8.62,96.94,"Umino et al., 2018",1,High-Si-D
AMs3-1,159.8,62.5,435.75,41.88,342.68,12.23,40.37,2.54,13.77,0.43,34.88,0.38,2.24,0.13,0.13,0.72,1.42,0.21,0.83,0.29,0.05,0.21,0.05,0.27,0.09,0.29,0.06,0.35,0.06,1.18,54.08,21.4,7.78,0.2,8.88,0.63,0.4,0.04,4.8,99.39,"Umino et al., 2018",1,High-Si-V
AMs3-24,183.01,49.05,172.49,37.51,441.51,9.48,34.95,2.42,14,0.28,22.11,0.34,1.1,0.04,0.06,0.43,0.91,0.16,0.8,0.18,0.06,0.24,0.04,0.33,0.07,0.29,0.06,0.4,0.07,1.22,56.55,15.03,8.96,0.18,7.9,1.07,0.29,0.07,6.95,98.22,"Umino et al., 2018",1,High-Si-V
AMs3-31,161.01,57.98,275.85,31.94,414.42,11.13,38.42,2.54,13.7,0.35,26.15,0.41,1.24,0.08,0.06,0.58,1.05,0.17,0.81,0.21,0.06,0.23,0.04,0.32,0.08,0.35,0.06,0.41,0.07,1.1,54.55,18.08,7.93,0.17,7.63,0.47,0.33,0.1,6.15,96.51,"Umino et al., 2018",1,High-Si-V
CIu1-8,202.58,48.98,208.58,34.8,379.81,12.09,38.56,1.95,10.47,0.31,29.58,0.27,1.34,0.11,0.08,0.52,0.92,0.13,0.52,0.14,0.04,0.19,0.04,0.25,0.07,0.25,0.04,0.41,0.07,1.05,55.19,15.73,8.83,0.17,7.68,0.67,0.34,0.06,6.65,96.37,"Umino et al., 2018",1,High-Si-V
CIu3_2,195.12,50.5,187.34,36.22,468.79,11.08,43.22,2.6,13.46,0.35,28.78,0.39,1.78,0.07,0.07,0.59,1.07,0.16,0.63,0.2,0.07,0.22,0.03,0.44,0.08,0.36,0.05,0.5,0.07,1.19,56.42,15.19,9.32,0.16,7.76,1.18,0.23,0.14,6.64,98.23,"Umino et al., 2018",1,High-Si-V
CIu3_3,194.92,49.56,187.09,33.8,470.8,13.8,39.64,2.33,13.37,0.35,31.43,0.41,1.35,0.09,0.07,0.62,1.14,0.18,0.76,0.18,0.05,0.22,0.04,0.34,0.06,0.3,0.04,0.45,0.08,1.12,56.53,15.54,8.64,0.15,7.72,0.4,0.43,0.05,6.73,97.31,"Umino et al., 2018",1,High-Si-V
CIu3_5,188.06,43.85,108.56,39.92,518.1,9.41,30.46,2.84,12.54,0.24,22.47,0.42,1.11,0.06,0.07,0.44,0.77,0.12,0.59,0.18,0.05,0.28,0.04,0.42,0.11,0.4,0.07,0.52,0.09,0.92,58.94,10.91,10.01,0.18,7.98,0.22,0.27,0.07,7.9,97.4,"Umino et al., 2018",1,High-Si-V
CIu4-16,408.46,36.91,168.03,50.63,477.77,11.65,48.28,2.19,11.22,0.45,33.2,0.25,1.86,0.16,0.09,0.72,1.15,0.17,0.68,0.24,0.08,0.2,0.03,0.3,0.09,0.33,0.05,0.45,0.07,1.08,59.11,9.89,11.74,0.08,7.78,0.59,0.36,0.07,6.68,97.38,"Umino et al., 2018",1,High-Si-V
