Sample,V,Co,Ni,Sc,Ti,Rb,Sr,Y,Zr,Nb,Ba,Hf,Pb,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Na2O,SiO2,MgO,Al2O3,MnO,FeO,Cr2O3,K2O,TiO2,CaO,Total,source,label,comment
M1_Glass1_2,204.97,41.06,58.38,41.49,616.97,11.92,80.42,3.42,17.26,0.38,41.08,0.51,1.73,0.12,0.13,0.93,1.8,0.27,1.28,0.36,0.12,0.45,0.08,0.57,0.13,0.4,0.06,0.5,0.08,1.65,58.51,8.32,10.27,0.18,8.78,0.06,0.38,0.06,8.3,96.55,"Valetich et al., 2018",1,
M1_Glass1_8,202.68,42.13,60.99,40.37,605.3,12.25,81.99,3.6,17.86,0.38,40.81,0.53,1.7,0.12,0.13,0.93,1.77,0.27,1.24,0.39,0.12,0.46,0.08,0.53,0.13,0.41,0.07,0.48,0.08,1.66,58.59,8.56,10.26,0.13,8.5,0.06,0.38,0.06,8.35,96.6,"Valetich et al., 2018",1,
M1_Glass1_13,202.99,43.61,64.96,40.34,593.85,11.96,80.57,3.47,17.68,0.37,40.69,0.53,2.46,0.12,0.13,0.91,1.74,0.27,1.22,0.34,0.12,0.43,0.07,0.53,0.13,0.39,0.07,0.49,0.08,1.62,58.71,8.82,10.14,0.18,9.03,0.06,0.4,0.05,8.13,97.17,"Valetich et al., 2018",1,
M1_Glass1_18,206.08,42.47,60.58,40.61,614.57,12.28,83.07,3.57,18.27,0.37,40.86,0.54,1.73,0.12,0.13,0.93,1.82,0.29,1.28,0.34,0.12,0.45,0.08,0.57,0.12,0.42,0.07,0.5,0.08,1.66,58.89,8.55,10.31,0.18,9,0.06,0.42,0.07,8.24,97.41,"Valetich et al., 2018",1,
M1_Glass1_26,208.06,41.52,57.22,40.49,626.82,12.43,84.85,3.71,18.85,0.38,41.43,0.55,1.76,0.12,0.13,0.94,1.81,0.29,1.33,0.39,0.12,0.49,0.07,0.58,0.12,0.4,0.06,0.5,0.08,1.67,59.33,8.17,10.52,0.18,8.77,0.05,0.41,0.11,8.29,97.55,"Valetich et al., 2018",1,
M1_Glass2_4,205.38,42.07,60.68,40.08,608.92,12.28,82.42,3.61,18.06,0.37,41.55,0.53,1.76,0.12,0.13,0.92,1.78,0.27,1.33,0.35,0.13,0.48,0.08,0.54,0.13,0.42,0.07,0.47,0.08,1.6,59.03,8.39,10.23,0.12,8.88,0.04,0.4,0.07,8.31,97.12,"Valetich et al., 2018",1,
M1_Glass2_14,203.76,42.52,61.75,39.89,603.8,11.96,81.28,3.58,17.69,0.38,41.35,0.52,1.72,0.12,0.13,0.92,1.78,0.28,1.29,0.35,0.13,0.45,0.08,0.56,0.13,0.42,0.07,0.48,0.08,1.63,59.2,8.57,10.15,0.1,8.81,0.04,0.43,0.06,8.22,97.25,"Valetich et al., 2018",1,
M1_Glass2_17,202.1,43.26,63.9,39.37,589.62,12.23,80.03,3.43,17.32,,,0.51,1.77,,,0.92,1.77,0.27,1.3,0.38,0.12,0.44,0.08,0.55,0.13,0.41,0.07,0.5,0.08,1.65,58.86,8.64,10.18,0.11,8.82,0.04,0.4,0.02,8.12,96.89,"Valetich et al., 2018",1,
M1_Glass2_18,202.85,42.33,62.18,39.83,601.11,12.26,81.4,3.57,17.65,0.38,41.72,0.52,1.74,0.12,0.14,0.93,1.79,0.27,1.31,0.35,0.12,0.46,0.08,0.55,0.12,0.41,0.07,0.49,0.08,1.6,59.02,8.4,10.24,0.07,8.79,0.04,0.41,0.06,8.14,96.84,"Valetich et al., 2018",1,
High-Si-V* 3,159.28,61.65,397.66,35.57,335.77,11.67,29.54,2.04,11.72,0.31,27.69,0.31,1.66,0.08,0.08,0.47,0.9,0.14,0.62,0.18,0.05,0.19,0.04,0.27,0.07,0.28,0.04,0.35,0.07,0.71,52.63,20.9,7.7,0.23,8.29,0.62,0.39,0.09,5.24,96.8,"Umino et al., 2015",1,High-Si-V* 3
High-Si-V 3,157.75,54.87,259.95,33.54,409.02,11.6,39.46,2.58,13.83,0.31,26.83,0.37,1.39,0.07,0.08,0.52,1.01,0.15,0.7,0.2,0.06,0.23,0.05,0.35,0.09,0.33,0.05,0.43,0.08,1.25,55.89,16.69,8.16,0.14,8.21,0.19,0.35,0.08,6.24,97.2,"Umino et al., 2015",1,High-Si-V 3
High-Si-V 3,169.12,47.33,167.02,32.98,437.78,15.21,43.52,2.4,16.63,0.37,32.19,0.45,1.2,0.06,0.07,0.56,1.12,0.17,0.72,0.21,0.06,0.24,0.04,0.31,0.08,0.28,0.05,0.36,0.07,1.32,58.36,15.02,8.62,0.19,7.6,0.19,0.43,0.07,6.21,98.01,"Umino et al., 2015",1,High-Si-V 3
High-Si-D* 3,134.3,72.58,363.2,26.7,392.14,9.68,44.5,2.86,15.15,0.38,13.87,0.52,1.7,0.14,0.12,0.69,1.39,0.23,1.13,0.31,0.11,0.41,0.08,0.47,0.1,0.37,0.05,0.44,0.08,0.33,52.2,22.12,6.42,0.16,9.11,0.45,0.38,0.06,4.33,95.56,"Umino et al., 2015",1,High-Si-D* 3
High-Si-D 3,238.77,59.56,108.96,31.67,534.31,9.39,60.53,2.74,13.28,0.26,31.11,0.38,1.5,0.1,0.1,0.64,1.32,0.2,0.92,0.25,0.08,0.32,0.06,0.39,0.1,0.34,0.05,0.4,0.07,1.21,56.09,15.1,7.37,0.23,9.19,0.35,0.31,0.09,6.25,96.19,"Umino et al., 2015",1,High-Si-D 3
High-Si-D 3,153.21,63.84,251.07,29.81,466.18,7.01,51.22,3.12,14.92,0.17,23.28,0.4,0.99,0.06,0.07,0.5,1.08,0.16,0.79,0.24,0.11,0.38,0.05,0.44,0.08,0.33,0.07,0.4,0.07,0.99,56.43,18.26,6.87,0.19,8.5,0.77,0.24,0.08,5.14,97.47,"Umino et al., 2015",1,High-Si-D 3
High-Si-D 2,141.6,66.84,283.56,28.42,399.03,11.38,58.17,2.9,15.93,0.52,40.27,0.49,1.64,0.12,0.14,0.97,1.83,0.27,1.19,0.33,0.11,0.35,0.07,0.43,0.13,0.32,0.05,0.41,0.07,1.27,54.95,18.79,7.1,0.19,8.36,0.31,0.38,0.05,5.04,96.44,"Umino et al., 2015",1,High-Si-D 2
Low-Si-D 3,241.23,51.21,139.76,43.12,508.74,13.35,52.24,2.57,13.69,0.33,28.67,0.47,1.13,0.08,0.09,0.69,1.25,0.18,0.74,0.2,0.06,0.25,0.04,0.31,0.1,0.32,0.06,0.37,0.07,1.38,56.12,14.13,10.05,0.16,8.97,0.65,0.41,0.1,7.13,99.1,"Umino et al., 2015",0,Low-Si-D 3
Low-Si-D 3,244.42,47.45,100.6,42.25,738.16,12.6,71.98,3.36,18.76,0.42,33.79,0.61,1.59,0.1,0.08,0.78,1.57,0.25,1.06,0.3,0.12,0.42,0.08,0.48,0.12,0.42,0.06,0.44,0.12,1.65,57.34,9.49,11.67,0.13,8.2,0.93,0.39,0.14,8.34,98.28,"Umino et al., 2015",0,Low-Si-D 3
Low-Si-F* 5,264.64,49.71,132.83,56.59,1396.72,5.21,93.2,5.99,16.78,0.53,34.98,0.46,1.07,0.13,0.09,1.12,2.65,0.4,1.9,0.64,0.23,0.8,0.13,0.95,0.23,0.73,0.12,0.74,0.13,0.97,51.38,18.12,8.81,0.18,8.61,0.37,0.32,0.12,7.47,96.35,"Umino et al., 2015",0,Low-Si-F* 5
Low-Si-F 3,212.18,36.89,83.6,47.19,1214.67,5.05,101.86,7.35,17.12,0.56,36.63,0.5,1.05,0.15,0.1,1.22,2.86,0.43,2.1,0.67,0.27,0.95,0.16,1.23,0.25,0.83,0.13,0.83,0.13,1.48,57.75,8.29,11.58,0.1,7.24,0.31,0.34,0.16,10.51,97.76,"Umino et al., 2015",0,Low-Si-F 3
Low-Si-F 5,264.64,49.71,132.83,56.59,1396.72,5.21,93.2,5.99,16.78,0.53,34.98,0.46,1.07,0.13,0.09,1.12,2.65,0.4,1.9,0.64,0.23,0.8,0.13,0.95,0.23,0.73,0.12,0.74,0.13,1.15,53.48,13.52,10.69,0.24,9.41,0.54,0.32,0.19,7.97,97.51,"Umino et al., 2015",0,Low-Si-F 5
