Sample,V,Co,Ni,Sc,Ti,Rb,Sr,Y,Zr,Nb,Ba,Hf,Pb,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Na2O,SiO2,MgO,Al2O3,MnO,FeO,Cr2O3,K2O,TiO2,CaO,Total,source,label,comment
U1439A-21X-CC 22/25,125,,,,,31.2,183,4.43,42,1.09,50.7,,2.8,0.244,0.234,1.86,4.06,0.533,2.36,0.554,0.199,0.607,0.099,0.714,0.165,0.499,0.083,0.653,0.119,2.68,61.38,2.21,16.34,0.09,6.23,,0.62,0.22,6.82,96.19,Coulthard18,1,
U1439C-4R-1 1/3,92.1,,,,,23.4,111,4.19,29.2,0.76,34.6,0.762,1.73,0.131,0.136,1.21,2.79,0.409,1.73,0.453,0.153,0.618,0.087,0.624,0.127,0.421,0.072,0.517,0.09,2.21,63.83,1.07,18.05,0.07,5.42,,0.46,0.22,5.89,97.28,Coulthard18,1,
U1439C-5R-2 17/20,173,,,,,17.8,130,5.36,33.7,0.656,31.7,,1.58,0.132,0.123,1.11,2.78,0.404,1.9,0.566,0.2,0.694,0.122,0.851,0.189,0.59,0.089,0.682,0.11,2.68,60.57,4.69,14.49,0.11,6.57,,0.58,0.2,8.41,98.04,Coulthard18,1,
U1439C-6R-1 91/93,167,,,,,17.1,146,6.6,41.6,0.716,35.3,1.22,1.51,0.147,0.12,1.28,2.93,0.472,2.32,0.63,0.221,0.875,0.132,1.02,0.216,0.76,0.118,0.718,0.139,2.58,60.88,4.35,14.13,0.12,6.85,,0.5,0.2,7.9,97.52,Coulthard18,1,
U1439C-8R-1 112/114,156,,,,,11.7,121,6.9,35,0.575,25.6,,1.19,0.153,0.108,1.25,2.9,0.471,2.35,0.736,0.258,0.991,0.163,1.11,0.241,0.761,0.111,0.813,0.129,2.43,60.11,6.62,13.26,0.11,6.72,,0.48,0.23,8.27,98.08,Coulthard18,1,
U1439C-8R-1 138/140,167,,,,,13.1,127,7.39,42.3,0.7,26.3,1.09,1.07,0.167,0.117,1.38,3.33,0.527,2.42,0.725,0.235,0.909,0.173,1.17,0.275,0.767,0.124,0.828,0.146,2.83,59.29,6.34,13.03,0.16,7.1,,0.46,0.23,8.05,97.68,Coulthard18,1,
U1442A-10R-3 82/90,191,,,,,13.7,147,6.68,36.7,0.617,28.6,1.05,1.47,0.196,0.143,1.42,3.27,0.487,2.4,0.69,0.277,0.886,0.148,0.956,0.218,0.725,0.127,0.86,0.133,2.36,59.7,6,14.14,0.1,7.47,,0.45,0.23,7.98,98.49,Coulthard18,1,
U1442A-11R-1 31/33,80.9,,,,,27.1,187,14.57,96.7,1.47,61.3,,3.48,0.53,0.34,3.67,9.07,1.3,6.2,1.79,0.539,2.13,0.36,2.36,0.503,1.53,0.237,1.58,0.261,3.61,75.24,0.23,12.05,0.05,3.16,,1.29,0.4,2.1,98.22,Coulthard18,1,
U1442A-12R-1 12/14,160,,,,,14.1,134,6.93,39.6,0.678,30,,1.48,0.161,0.128,1.41,3.3,0.493,2.43,0.738,0.258,0.957,0.158,1.04,0.233,0.738,0.11,0.78,0.131,2.7,59.43,5.08,14.32,0.11,6.13,,0.55,0.23,8.06,96.31,Coulthard18,1,
U1442A-13R-1 1/3,152,,,,,19.4,154,5.59,44,0.905,37.1,,2.41,0.198,0.208,1.75,4.49,0.592,2.64,0.726,0.267,0.95,0.153,1,0.217,0.645,0.106,0.763,,3.27,63.19,2.06,16.53,0.07,5.69,,0.67,0.26,5.95,96.91,Coulthard18,1,
