Sample,V,Co,Ni,Sc,Ti,Rb,Sr,Y,Zr,Nb,Ba,Hf,Pb,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Na2O,SiO2,MgO,Al2O3,MnO,FeO,Cr2O3,K2O,TiO2,CaO,Total,source,label,comment
U1442A-17R-1 61/65,163,,,,,10.3,181,8.54,45.2,0.68,26.9,,1.41,0.192,0.121,1.68,4.06,0.642,3.19,1.01,0.348,1.31,0.207,1.4,0.304,0.922,0.139,0.924,0.152,2.65,59.11,5.37,14.65,0.11,5.9,,0.49,0.28,8.06,96.72,Coulthard18,1,
U1442A-19R-1 7/10,151,,,,,10.8,171,7.56,48,0.703,26.9,,1.43,0.201,0.138,1.78,4.36,0.669,3.22,0.966,0.346,1.23,0.207,1.35,0.29,0.849,0.135,0.898,,3,59.68,5.63,14.71,0.1,6.12,,0.48,0.27,8.22,97.95,Coulthard18,1,
U1442A-20R-1 86/90,167,,,,,10.7,179,8.13,43.6,0.676,26.3,1.28,1.37,0.178,0.123,1.6,4.13,0.664,3.26,0.968,0.353,1.14,0.187,1.32,0.272,0.826,0.134,0.772,0.139,2.77,59.92,5.68,13.9,0.12,6.77,,0.4,0.28,7.94,97.83,Coulthard18,1,
U1442A-21R-2 1/4,149,,,,,11.9,180,6.63,39.3,0.659,28.1,,1.33,0.165,0.117,1.47,3.71,0.553,2.59,0.787,0.295,0.972,0.163,1.05,0.231,0.682,0.103,0.726,0.118,3.41,64.58,1.26,17.49,0.08,5.14,,0.61,0.23,5.82,97.79,Coulthard18,1,
U1442A-26R-1 54/58,188,,,,,9.77,189,8.39,45.6,0.768,26,,1.41,0.177,0.131,1.76,4.65,0.701,3.42,1.05,0.379,1.24,0.202,1.35,0.294,0.852,0.134,0.911,0.147,3.1,60.7,3.71,15.41,0.11,6.49,,0.48,0.32,7.9,97.95,Coulthard18,1,
U1442A-30R-4 45/47,177,,,,,3.29,167,10.5,35.2,0.58,15.4,,0.759,0.089,0.054,1.28,3.31,0.564,3.09,1.02,0.388,1.39,0.249,1.67,0.38,1.15,0.178,1.15,0.183,2.29,54.88,6.14,16.39,0.12,6.81,,0.3,0.34,10.34,97.56,Coulthard18,0,
U1442A-32R-1 39/44,229,,,,,3.63,138,13.9,40.6,0.715,15.8,,0.713,0.105,0.062,1.43,3.99,0.693,3.71,1.35,0.494,1.84,0.318,2.21,0.496,1.55,0.231,1.55,0.242,2.32,55.68,5.3,15.52,0.13,8.2,,0.27,0.51,9.74,97.61,Coulthard18,0,
U1442A-34R-1 33/37,164,,,,,5.33,156,7.56,36.7,0.642,21.6,,1.15,0.099,0.08,1.31,3.67,0.588,2.96,0.951,0.358,1.23,0.212,1.35,0.303,0.903,0.141,0.957,0.143,2.76,57.02,5.13,16.43,0.12,6.36,,0.37,0.34,9.44,97.88,Coulthard18,0,
U1442A-39R-1 28/31,322,,,,,3.84,156,8.05,29.1,0.516,16.7,0.828,0.797,0.077,0.055,1.11,3.12,0.503,2.42,0.846,0.32,1.13,0.185,1.39,0.289,0.934,0.134,0.876,0.14,2.54,56.33,5.85,16.17,0.13,6.94,,0.29,0.34,9.81,98.56,Coulthard18,0,
U1442A-47R-1 52/58,199,,,,,4.16,151,9.65,30.9,0.583,13.8,0.84,0.703,0.077,0.049,1.21,3.5,0.577,2.78,0.886,0.394,1.19,0.227,1.68,0.352,1.07,0.153,1.09,0.159,2.28,54.87,6.35,16.25,0.12,6.88,,0.22,0.35,9.77,97.13,Coulthard18,0,
U1442A-48R-2 79/83,175,,,,,2.65,147,11.1,34.3,0.522,13.3,0.942,0.808,0.087,0.052,1.25,3.19,0.571,2.97,1.02,0.397,1.43,0.247,1.71,0.377,1.19,0.191,1.12,0.192,2.24,55.8,5.9,16.32,0.12,7.14,,0.2,0.35,9.85,97.97,Coulthard18,0,
U1442A-49R-2 69/72,181,,,,,3.91,164,9.43,33,0.553,17.6,0.942,0.867,0.107,0.062,1.26,3.51,0.578,2.85,0.964,0.354,1.24,0.206,1.52,0.327,0.964,0.168,0.996,0.144,2.35,55.74,5.5,16.14,0.12,7.22,,0.3,0.33,9.6,97.35,Coulthard18,0,
U1442A-52R-1 39/43,151,,,,,5.69,203,8.53,39.1,0.568,22.8,,1.12,0.169,0.09,1.58,3.7,0.586,2.91,0.963,0.35,1.19,0.207,1.4,0.304,0.898,0.148,0.912,0.143,2.91,57.87,5.23,16.47,0.11,6,,0.45,0.29,9.25,98.35,Coulthard18,0,
U1442A-54R-1 124/127,157,,,,,4.79,175,7.31,28.3,0.489,17.7,0.725,0.929,0.087,0.065,1.09,3.1,0.459,2.38,0.714,0.299,0.906,0.166,1.19,0.252,0.787,0.114,0.744,0.125,2.33,57.26,5.42,16.07,0.13,7.24,,0.29,0.3,9.14,98.24,Coulthard18,0,
U1442A-55R-1 68/72,173,,,,,4.84,174,7.74,30,0.59,18.4,,0.977,0.138,0.122,1.25,3.26,0.599,2.53,0.89,0.359,1.04,0.21,1.25,0.301,0.879,0.15,0.871,0.16,2.25,56.14,5.72,16.33,0.12,6.69,,0.33,0.3,9.74,97.78,Coulthard18,0,
U1442A-55R-2 66/70,159,,,,,4.88,167,9.59,36.7,0.506,17.9,,0.876,0.121,0.064,1.32,3.03,0.51,2.67,0.905,0.335,1.27,0.222,1.53,0.337,1.04,0.163,1.01,0.17,2.28,56.25,5.68,16.4,0.11,6.6,,0.38,0.3,9.83,97.89,Coulthard18,0,
U1442A 56R-2 24/27,177,,,,,6.2,178,7.25,27.7,0.507,20.8,0.753,1.03,0.093,0.071,1.14,3.19,0.496,2.47,0.74,0.316,0.988,0.172,1.2,0.272,0.772,0.122,0.774,0.128,2.47,57,5.2,15.92,0.12,7.11,,0.28,0.32,9.06,97.52,Coulthard18,0,
U1442A 57R-2 100/102,165,,,,,5.41,231,7.59,28.4,0.479,22.5,0.857,0.993,0.025,0.072,1.23,3.16,0.482,2.5,0.845,0.319,1.07,0.175,1.27,0.262,0.838,0.108,0.87,0.143,2.23,56.27,5.93,16.38,0.11,6.9,,0.26,0.29,9.62,98.05,Coulthard18,0,
U1439C-16R-1 33/34,115,,,,,2.78,78.7,5.53,20.2,0.317,11.4,0.57,0.645,0.028,0.031,0.588,1.66,0.303,1.64,0.47,0.216,0.66,0.151,0.857,0.181,0.549,0.093,0.56,0.087,2.42,63.22,1.6,17.55,0.08,5.35,,0.22,0.31,5.57,96.39,Coulthard18,0,
U1439C-19R-4 84/87,150,,,,,3.7,109,6.48,25,0.466,14.5,,0.718,0.046,0.044,0.78,2.48,0.412,2.06,0.716,0.271,0.935,0.16,1.05,0.229,0.682,0.103,0.695,0.104,2.23,57.26,7.33,14.38,0.12,6.49,,0.31,0.34,9.73,98.29,Coulthard18,0,
U1439C-20R-1 99/101,186,,,,,3.75,142,10.4,37.6,0.591,16.1,,0.875,0.071,0.054,1.16,3.36,0.59,3.14,1.01,0.412,1.48,0.26,1.78,0.384,1.16,0.18,1.12,0.175,2.21,56.56,7.75,14.11,0.12,6.71,,0.27,0.36,10.1,98.21,Coulthard18,0,
U1439C-20R-1 101/104,171,,,,,3.58,139,11.5,38.3,0.561,14.6,1.1,0.781,0.089,0.044,1.12,3.04,0.546,3.08,1.1,0.404,1.6,0.265,1.67,0.469,1.35,0.219,1.27,0.195,2.28,57.4,7.14,13.84,0.14,7.3,,0.22,0.37,9.56,98.3,Coulthard18,0,
U1439C-28R-2 93/95,176,,,,,4.11,156,7.58,30.9,0.485,17.5,0.87,0.881,0.07,0.047,1.15,3.07,0.504,2.51,0.762,0.32,0.952,0.168,1.16,0.25,0.782,0.116,0.812,0.125,2.29,56.88,6.98,14.4,0.14,6.72,,0.26,0.28,9.88,97.87,Coulthard18,0,
U1439C-29R-4 113/117,172,,,,,5.54,111,8.07,31.4,0.501,18.1,,0.796,0.066,0.052,0.823,2.15,0.374,2,0.701,0.256,1.05,0.188,1.29,0.283,0.887,0.136,0.905,0.147,2.27,57.02,7.22,14.36,0.12,6.35,,0.34,0.27,9.96,97.8,Coulthard18,0,
U1439C-30R-1 4/5,176,,,,,6.3,119,7.09,28.2,0.512,21.1,0.818,0.935,0.07,0.059,0.879,2.38,0.405,2.04,0.718,0.255,0.918,0.156,1.19,0.215,0.725,0.125,0.815,0.12,2.18,57.75,7.21,14.09,0.12,6.5,,0.27,0.26,8.87,97.26,Coulthard18,0,
U1439C-31R-5 55/58,224,,,,,6.43,148,7.57,29.8,0.57,25.2,0.764,0.869,0.056,0.051,0.826,2.24,0.37,1.91,0.677,0.248,0.924,0.183,1.19,0.253,0.782,0.12,0.831,0.134,2.3,58.37,7.27,14.52,0.12,6.68,,0.31,0.28,9.79,99.67,Coulthard18,0,
U1439C-32R-4 61/63,172,,,,,6.47,123,8.12,35.4,0.608,22,0.935,0.673,0.067,0.056,1,2.87,0.424,2.24,0.735,0.25,0.966,0.179,1.29,0.285,0.841,0.102,0.764,0.119,2.24,58.29,7.42,14.52,0.12,6.62,,0.3,0.27,9.63,99.45,Coulthard18,0,
U1439C-33R-1 114/120,,,,,,4.88,133,7.22,29.6,0.467,20.7,,0.842,0.054,0.048,0.873,2.5,0.427,2.12,0.653,0.304,1.02,0.163,1.23,0.244,0.766,0.131,0.796,0.12,2.21,56.25,6.75,15.31,0.11,5.84,,0.31,0.28,9.9,97.06,Coulthard18,0,
U1439C-35R-4 106/108,163,,,,,4.97,135,7.24,30.2,0.495,21.3,0.837,0.93,0.058,0.05,0.909,2.71,0.451,2.26,0.774,0.293,1.08,0.172,1.23,0.256,0.815,0.12,0.886,0.125,2.37,57.56,6.76,14.93,0.14,4.95,,0.21,0.26,9.14,96.34,Coulthard18,0,
